hop_name	hop_purpose	country	link	brew_value	range_min	range_max	range_mean
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Caryophyllene	6	8	7
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Farnesene	9	12	10.5
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	All Others	31	50	50
Feux-Coeur Francais	Bittering	Australia	https://beermaverick.com/hop/feux-coeur-francais/	Alpha Acid %	12	16	14
Feux-Coeur Francais	Bittering	Australia	https://beermaverick.com/hop/feux-coeur-francais/	Beta Acid %	3.1	6	4.6
Feux-Coeur Francais	Bittering	Australia	https://beermaverick.com/hop/feux-coeur-francais/	Alpha-Beta Ratio	2	5	4
Feux-Coeur Francais	Bittering	Australia	https://beermaverick.com/hop/feux-coeur-francais/	Co-Humulone as % of Alpha	NA	NA	NA
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Alpha Acid %	11	16	13.5
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Beta Acid %	5	9	7
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Alpha-Beta Ratio	1	3	2
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Co-Humulone as % of Alpha	32	42	37
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Total Oils (mL/100g)	1.8	5	3.4
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Myrcene	33	69	51
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Humulene	1	2	1.5
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Caryophyllene	7	13	10
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	Farnesene	3	5	4
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	All Others	11	56	56
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Alpha Acid %	5.4	7.3	6.4
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Beta Acid %	5	7	6
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Alpha-Beta Ratio	1	1	1
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Co-Humulone as % of Alpha	20	23	21.5
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Total Oils (mL/100g)	0.6	1	0.8
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Myrcene	1	13	7
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Humulene	35	55	45
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Caryophyllene	10	45	27.5
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	Farnesene	0	1	0.5
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	All Others	0	54	54
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Alpha Acid %	15.7	18.7	17.2
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Beta Acid %	5.9	9	7.5
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Alpha-Beta Ratio	2	3	2
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Co-Humulone as % of Alpha	33	37	35
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Total Oils (mL/100g)	1.7	1.9	1.8
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Myrcene	35	49	42
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Humulene	0	2	1
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Caryophyllene	6	12	9
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	Farnesene	0	1	0.5
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	All Others	36	59	59
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	Alpha Acid %	7	10	8.5
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	Beta Acid %	2.5	5	3.8
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	Alpha-Beta Ratio	1	4	3
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	Co-Humulone as % of Alpha	25	35	30
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	Total Oils (mL/100g)	2	4	3
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Alpha Acid %	7	11	9
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Beta Acid %	4	8	6
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Alpha-Beta Ratio	1	3	2
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Co-Humulone as % of Alpha	26	39	32.5
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Total Oils (mL/100g)	NA	NA	1.2
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Myrcene	24	41	32.5
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Humulene	2	4	3
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Caryophyllene	9	14	11.5
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	Farnesene	0	1	0.5
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	All Others	40	65	65
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Alpha Acid %	5.6	6.4	6
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Beta Acid %	4.8	6.1	5.5
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Alpha-Beta Ratio	1	1	1
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Co-Humulone as % of Alpha	20	25	22.5
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Total Oils (mL/100g)	1.4	2	1.7
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Myrcene	29	38	33.5
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Humulene	28	50	39
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Caryophyllene	8	11	9.5
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	Farnesene	0	1	0.5
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	All Others	0	35	35
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Alpha Acid %	12.5	16.3	14.4
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Beta Acid %	4.5	8	6.3
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Alpha-Beta Ratio	2	4	3
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Co-Humulone as % of Alpha	25	50	37.5
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Total Oils (mL/100g)	3	4	3.5
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Myrcene	34	42	38
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Humulene	1	2	1.5
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Caryophyllene	5	9	7
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	Farnesene	0	1	0.5
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	All Others	46	60	60
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Alpha Acid %	4	7.3	5.7
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Beta Acid %	3	7	5
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Alpha-Beta Ratio	1	2	2
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Co-Humulone as % of Alpha	20	28	24
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Total Oils (mL/100g)	0.9	1.4	1.2
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Myrcene	26	36	31
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Humulene	18	27	22.5
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Caryophyllene	5	8	6.5
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	Farnesene	22	28	25
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	All Others	1	29	29
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Alpha Acid %	13.7	20.1	16.9
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Beta Acid %	4.9	7.9	6.4
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Alpha-Beta Ratio	2	4	3
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Co-Humulone as % of Alpha	47	53	50
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Total Oils (mL/100g)	1.3	2.2	1.8
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Myrcene	18	56	37
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Humulene	8	16	12
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Caryophyllene	6	13	9.5
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	Farnesene	0	1	0.5
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	All Others	14	68	68
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Alpha Acid %	14	21.8	17.9
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Beta Acid %	5.7	8.7	7.2
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Alpha-Beta Ratio	2	4	3
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Co-Humulone as % of Alpha	51	57	54
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Total Oils (mL/100g)	1.9	2.8	2.4
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Myrcene	31	46	38.5
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Humulene	9	21	15
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Caryophyllene	9	15	12
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	Farnesene	0	1	0.5
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	All Others	17	51	51
Vienna Gold	Dual	Australia	https://beermaverick.com/hop/vienna-gold/	Alpha Acid %	6	10	8
Vienna Gold	Dual	Australia	https://beermaverick.com/hop/vienna-gold/	Co-Humulone as % of Alpha	NA	NA	NA
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Alpha Acid %	5	6	5.5
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Beta Acid %	5	6	5.5
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Alpha-Beta Ratio	1	1	1
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Co-Humulone as % of Alpha	NA	NA	47
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Total Oils (mL/100g)	NA	NA	NA
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Myrcene	69	71	70
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Humulene	1	3	2
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Caryophyllene	1	3	2
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	Farnesene	4	7	5.5
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	All Others	16	25	25
Lumberjack	Dual	Canada	https://beermaverick.com/hop/lumberjack/	Alpha Acid %	9	12	10.5
Lumberjack	Dual	Canada	https://beermaverick.com/hop/lumberjack/	Co-Humulone as % of Alpha	NA	NA	NA
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Alpha Acid %	6.6	9	7.8
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Beta Acid %	NA	NA	8.2
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Co-Humulone as % of Alpha	34	35	34.5
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Total Oils (mL/100g)	NA	NA	0.8
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Myrcene	60	61	60.5
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Humulene	13	14	13.5
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Caryophyllene	5	6	5.5
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	Farnesene	8	9	8.5
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	All Others	10	14	14
Wild Loyalist	Aroma	Canada	https://beermaverick.com/hop/wild-loyalist/	Alpha Acid %	3.7	5.6	4.7
Wild Loyalist	Aroma	Canada	https://beermaverick.com/hop/wild-loyalist/	Beta Acid %	4.7	6.7	5.7
Wild Loyalist	Aroma	Canada	https://beermaverick.com/hop/wild-loyalist/	Alpha-Beta Ratio	1	1	1
Wild Loyalist	Aroma	Canada	https://beermaverick.com/hop/wild-loyalist/	Co-Humulone as % of Alpha	NA	NA	NA
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Alpha Acid %	12	13	12.5
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Beta Acid %	4.5	5.5	5
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Alpha-Beta Ratio	2	3	3
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Co-Humulone as % of Alpha	30	35	32.5
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Total Oils (mL/100g)	NA	NA	1.1
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Myrcene	40	50	45
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Humulene	15	25	20
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Caryophyllene	8	12	10
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	Farnesene	0	1	0.5
Marco Polo	Dual	China	https://beermaverick.com/hop/marco-polo/	All Others	12	37	37
Tsingdao Flower	Dual	China	https://beermaverick.com/hop/tsingdao-flower/	Alpha Acid %	6	8	7
Tsingdao Flower	Dual	China	https://beermaverick.com/hop/tsingdao-flower/	Beta Acid %	3	4.2	3.6
Tsingdao Flower	Dual	China	https://beermaverick.com/hop/tsingdao-flower/	Alpha-Beta Ratio	1	3	2
Tsingdao Flower	Dual	China	https://beermaverick.com/hop/tsingdao-flower/	Co-Humulone as % of Alpha	NA	NA	35
Tsingdao Flower	Dual	China	https://beermaverick.com/hop/tsingdao-flower/	Total Oils (mL/100g)	0.4	0.8	0.6
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Alpha Acid %	9	14	11.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Beta Acid %	4	6.5	5.3
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Alpha-Beta Ratio	1	4	2
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Co-Humulone as % of Alpha	29	38	33.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Total Oils (mL/100g)	2	3	2.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Myrcene	40	55	47.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Humulene	15	20	17.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Caryophyllene	NA	NA	NA
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	Farnesene	0	1	0.5
Agnus	Bittering	Czech Replublic	https://beermaverick.com/hop/agnus/	All Others	24	45	45
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Alpha Acid %	3.5	6	4.8
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Beta Acid %	7	8	7.5
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Alpha-Beta Ratio	0	1	1
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Co-Humulone as % of Alpha	20	28	24
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Total Oils (mL/100g)	0.4	1	0.7
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Myrcene	41	43	42
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Humulene	18	20	19
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Caryophyllene	5	7	6
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	Farnesene	0	1	0.5
Amethyst	Aroma	Czech Replublic	https://beermaverick.com/hop/amethyst/	All Others	29	36	36
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Alpha Acid %	5	8	6.5
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Beta Acid %	6	9	7.5
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Alpha-Beta Ratio	1	1	1
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Co-Humulone as % of Alpha	23	26	24.5
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Total Oils (mL/100g)	1	1.5	1.3
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Myrcene	30	45	37.5
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Humulene	17	23	20
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Caryophyllene	7	10	8.5
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	Farnesene	1	3	2
Bohemie	Aroma	Czech Replublic	https://beermaverick.com/hop/bohemie/	All Others	19	45	45
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Alpha Acid %	10	14	12
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Beta Acid %	5	10	7.5
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Alpha-Beta Ratio	1	3	2
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Co-Humulone as % of Alpha	27	32	29.5
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Total Oils (mL/100g)	1.5	3	2.3
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Myrcene	30	53	41.5
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Humulene	17	24	20.5
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Caryophyllene	7	11	9
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	Farnesene	0	1	0.5
Boomerang	Dual	Czech Replublic	https://beermaverick.com/hop/boomerang/	All Others	11	46	46
Bor	Dual	Czech Replublic	https://beermaverick.com/hop/bor/	Alpha Acid %	6	9	7.5
Bor	Dual	Czech Replublic	https://beermaverick.com/hop/bor/	Beta Acid %	3	5.5	4.3
Bor	Dual	Czech Replublic	https://beermaverick.com/hop/bor/	Alpha-Beta Ratio	1	3	2
Bor	Dual	Czech Replublic	https://beermaverick.com/hop/bor/	Co-Humulone as % of Alpha	23	26	24.5
Bor	Dual	Czech Replublic	https://beermaverick.com/hop/bor/	Total Oils (mL/100g)	1	2	1.5
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Alpha Acid %	12	15	13.5
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Beta Acid %	5	10	7.5
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Alpha-Beta Ratio	1	3	2
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Co-Humulone as % of Alpha	20	29	24.5
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Total Oils (mL/100g)	1.5	2.5	2
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Myrcene	23	37	30
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Humulene	2	4	3
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Caryophyllene	9	12	10.5
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	Farnesene	5	7	6
Gaia	Bittering	Czech Replublic	https://beermaverick.com/hop/gaia/	All Others	40	61	61
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Alpha Acid %	4	8	6
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Beta Acid %	5	8	6.5
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Alpha-Beta Ratio	1	2	1
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Co-Humulone as % of Alpha	19	22	20.5
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Total Oils (mL/100g)	0.9	1.4	1.2
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Myrcene	30	40	35
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Humulene	10	20	15
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Caryophyllene	6	11	8.5
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	Farnesene	0	1	0.5
Harmonie	Aroma	Czech Replublic	https://beermaverick.com/hop/harmonie/	All Others	28	54	54
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Alpha Acid %	5	8	6.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Beta Acid %	4	6	5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Alpha-Beta Ratio	1	2	1
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Co-Humulone as % of Alpha	35	40	37.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Total Oils (mL/100g)	0.9	1.8	1.4
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Myrcene	40	55	47.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Humulene	20	35	27.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Caryophyllene	10	15	12.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	Farnesene	0	1	0.5
Kazbek	Aroma	Czech Replublic	https://beermaverick.com/hop/kazbek/	All Others	0	30	30
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Alpha Acid %	1.9	4.8	3.4
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Beta Acid %	4.3	8.4	6.4
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Alpha-Beta Ratio	0	1	1
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Co-Humulone as % of Alpha	21	34	27.5
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Total Oils (mL/100g)	0.5	1.2	0.9
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Myrcene	16	42	29
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Humulene	3	12	7.5
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Caryophyllene	5	8	6.5
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	Farnesene	0	3.5	1.8
Mimosa	Aroma	Czech Replublic	https://beermaverick.com/hop/mimosa/	All Others	34.5	76	76
Premiant	Bittering	Czech Replublic	https://beermaverick.com/hop/premiant/	Alpha Acid %	7	9	8
Premiant	Bittering	Czech Replublic	https://beermaverick.com/hop/premiant/	Beta Acid %	3.5	6.5	5
Premiant	Bittering	Czech Replublic	https://beermaverick.com/hop/premiant/	Alpha-Beta Ratio	1	3	2
